run_id,fingerprint,source_path,suite,dataset,experiment_id,experiment_name,model,model_family,mode,optimization,status,deployment_eligible,has_known_leakage,feature_count,train_rows,test_rows,roc_auc,avg_precision,accuracy,precision,recall,f1,fit_seconds,total_seconds,threshold,timestamp,strategy,notes,schema_version,has_provenance
4ec5dcd371da9450,1d5b70636eab5325b50dcb7294067a42eb6738ff1fd5c83b29cb8d4140a00c4f,general_pipeline/results_external/adult__baseline__catboost.json,external_benchmark,adult,adult__baseline__catboost,catboost,catboost,catboost,external,baseline,completed,True,False,14,16000,4000,0.9268095988154461,0.8243308075912387,0.87075,0.7791878172588832,0.6415882967607106,0.7037249283667621,1.602,1.623,0.5,2026-09-16 12:40:42,,,,False
d8155fa72b8e9b64,4d5f169ba7a262d8181e1ac7e1c7405401bc5e068554725475dd4a3ec127c36c,general_pipeline/results_external/adult__baseline__extra_trees.json,external_benchmark,adult,adult__baseline__extra_trees,extra_trees,extra_trees,extra_trees,external,baseline,completed,True,False,14,16000,4000,0.8956213122190437,0.7487735156744028,0.84875,0.7125603864734299,0.6165099268547545,0.6610644257703081,0.544,0.615,0.5,2026-09-16 12:40:39,,,,False
ad23b7d3b8a68126,baabcb440560d1a0b58a7a92d404c87b60497a8ace793624d328c23752dda568,general_pipeline/results_external/adult__baseline__hist_gradient_boosting.json,external_benchmark,adult,adult__baseline__hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,external,baseline,completed,True,False,14,16000,4000,0.9250157357911729,0.8195328306542856,0.869,0.768944099378882,0.6468129571577848,0.70261066969353,0.321,0.347,0.5,2026-09-16 12:40:39,,,,False
c9846b54f46ce293,4a2e1ba6e214f36820eb82797b6f4a525f4457fcc0fcb6b873c6118153df91e8,general_pipeline/results_external/adult__baseline__lightgbm.json,external_benchmark,adult,adult__baseline__lightgbm,lightgbm,lightgbm,lightgbm,external,baseline,completed,True,False,14,16000,4000,0.9260747468108625,0.821939099142155,0.87025,0.7683823529411765,0.6551724137931034,0.7072758037225042,0.561,0.579,0.5,2026-09-16 12:40:40,,,,False
39b323c852602b19,a10ce307c3d68d14fd2cff88cf662dc23541625e52baaf9c2891a830e0a9c4c0,general_pipeline/results_external/adult__baseline__logistic_regression.json,external_benchmark,adult,adult__baseline__logistic_regression,logistic_regression,logistic_regression,logistic_regression,external,baseline,completed,True,False,14,16000,4000,0.8501688270972212,0.6828102912792505,0.825,0.7196581196581197,0.4399164054336468,0.5460440985732814,0.106,0.118,0.5,2026-09-16 12:40:37,,,,False
5ba77cae5e3a9f33,411acd0ddb8d76352eb11118eb5a7c01459bce34f3a9dd6015b7d978cef00349,general_pipeline/results_external/adult__baseline__random_forest.json,external_benchmark,adult,adult__baseline__random_forest,random_forest,random_forest,random_forest,external,baseline,completed,True,False,14,16000,4000,0.9066684728916874,0.7827950364595004,0.8555,0.7354037267080745,0.6185997910135841,0.6719636776390465,0.839,0.899,0.5,2026-09-16 12:40:38,,,,False
b55839f801eaae34,e085cc37a8a43b3fe62bfec5052463769c94148002f4c5b73147b192ebac0a75,general_pipeline/results_external/adult__baseline__xgboost.json,external_benchmark,adult,adult__baseline__xgboost,xgboost,xgboost,xgboost,external,baseline,completed,True,False,14,16000,4000,0.9224494196901193,0.8138590206743095,0.86725,0.7636138613861386,0.644723092998955,0.6991501416430594,0.122,0.133,0.5,2026-09-16 12:40:40,,,,False
e75acdfdafa1e05b,90f5c77527f9e45ac82bb20602c663ce5d615348d9d15245c6400c979ba43425,general_pipeline/results_external/adult__optimized__catboost.json,external_benchmark,adult,adult__optimized__catboost,catboost,catboost,catboost,external,optimized,completed,True,False,14,16000,4000,0.9274019444733465,0.8250870454728565,0.8715,0.7828863346104725,0.6405433646812957,0.7045977011494253,3.041,3.056,0.5,2026-09-16 12:40:52,,,,False
eb24cf255838dcd1,5840386d2ea3836490a811407d91431ec03a798f0ec3eac70576eaf86b8d853a,general_pipeline/results_external/adult__optimized__extra_trees.json,external_benchmark,adult,adult__optimized__extra_trees,extra_trees,extra_trees,extra_trees,external,optimized,completed,True,False,14,16000,4000,0.9074139699486736,0.7714187315145447,0.8495,0.7812995245641838,0.5151515151515151,0.6209068010075567,2.138,2.311,0.5,2026-09-16 12:40:46,,,,False
9e6ab22af61d5c69,1d09eeedf54f23fc2cf0f8468edd818be223356d6589035c55ae43b9e5a97f85,general_pipeline/results_external/adult__optimized__hist_gradient_boosting.json,external_benchmark,adult,adult__optimized__hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,external,optimized,completed,True,False,14,16000,4000,0.9245839243912832,0.8186735293450366,0.867,0.7620221948212084,0.64576802507837,0.6990950226244343,0.718,0.781,0.5,2026-09-16 12:40:47,,,,False
b30c1fb32df59c9d,534a9d64d8bea1e578b1f46acd620a3c21b38ed10ea6892a11fb4a40710eef4a,general_pipeline/results_external/adult__optimized__lightgbm.json,external_benchmark,adult,adult__optimized__lightgbm,lightgbm,lightgbm,lightgbm,external,optimized,completed,True,False,14,16000,4000,0.9237316334214812,0.8159050600959544,0.869,0.783748361730013,0.6248693834900731,0.6953488372093023,0.974,0.998,0.5,2026-09-16 12:40:48,,,,False
98a8d9055326ef76,17d294214fdb14e3286a7f007c176d39eb365f19edd4c889ba6eefbf3f0b8586,general_pipeline/results_external/adult__optimized__logistic_regression.json,external_benchmark,adult,adult__optimized__logistic_regression,logistic_regression,logistic_regression,logistic_regression,external,optimized,completed,True,False,14,16000,4000,0.8501636762654134,0.682834034437446,0.825,0.7196581196581197,0.4399164054336468,0.5460440985732814,0.041,0.048,0.5,2026-09-16 12:40:42,,,,False
ed4516ba9d45391b,93d8e8e11b9e6f7d75c306a0bb4770be43127548f53fea00a29d3aedbaf8e832,general_pipeline/results_external/adult__optimized__random_forest.json,external_benchmark,adult,adult__optimized__random_forest,random_forest,random_forest,random_forest,external,optimized,completed,True,False,14,16000,4000,0.9151589323493183,0.8021786569988479,0.86775,0.7884097035040432,0.6112852664576802,0.6886403766921718,1.781,2.034,0.5,2026-09-16 12:40:44,,,,False
c19ce4b2f38bd96d,d73720246df6f49fc520376fa80bf25c2bb39fe556ef4b34712e49da69940025,general_pipeline/results_external/adult__optimized__xgboost.json,external_benchmark,adult,adult__optimized__xgboost,xgboost,xgboost,xgboost,external,optimized,completed,True,False,14,16000,4000,0.9262150211304291,0.8227189737563765,0.8705,0.7713226205191595,0.6520376175548589,0.7066817667044167,0.567,0.598,0.5,2026-09-16 12:40:49,,,,False
1a7d8674614a118f,0996dd927df7b04c2db5d6346be29612d2f82d14b45b0c9b39ab3d1a4fd76364,external_projects/adult_exp/results/ladder/01_safe_baseline_logistic.json,external_playbook,adult,1,baseline_logistic,logistic_regression,logistic_regression,safe,none,completed,True,False,14,16000,4000,0.8501688270972212,0.6828102912792505,0.825,0.7196581196581197,0.4399164054336468,0.5460440985732814,0.066,0.078,0.5,2026-09-16 13:25:59,,Floor: logistic regression on raw features.,,False
77a6331f63fbfe88,559097037e91be87f164f71aa2bdce0c54057195385847012963c5bf3cc41278,external_projects/adult_exp/results/ladder/10_safe_hist_gradient_boosting.json,external_playbook,adult,10,hist_gradient_boosting,hist_gradient_boosting,hist_gradient_boosting,safe,none,completed,True,False,50,16000,4000,0.92172195054446,0.8145589175450265,0.86875,0.7706766917293233,0.6426332288401254,0.7008547008547008,1.27,1.317,0.5,2026-09-16 13:28:36,,Sklearn HistGB on full FE (HyperAck exp 10).,,False
9807b037dc244e52,f57ac82866f0d8ef26f5b758f50d8518bc6c0ef9b37212f9e88a2eeaba47e8db,external_projects/adult_exp/results/ladder/11_safe_extra_trees_strong.json,external_playbook,adult,11,extra_trees_strong,extra_trees,extra_trees,safe,hand_tuned,completed,True,False,50,16000,4000,0.9011613752171506,0.7728852571461509,0.8515,0.7745839636913767,0.5350052246603971,0.6328800988875154,5.1,5.749,0.5,2026-09-16 13:28:48,,"Strong ExtraTrees (n=600, depth=14) on full FE.",,False
